file,phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,delta_tpsa,conjugate_acid,conjugate_base,exp_pKa (pKa)
869,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)c2ccc(cc2)N(=O)=O)[OH:16],c1ccc(c(c1)c2ccc(cc2)N(=O)=O)[O-:16],10.42
870,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(cc1)c2ccc(c(c2)[OH:16])N(=O)=O,c1ccc(cc1)c2ccc(c(c2)[O-:16])N(=O)=O,6.74
871,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(cc1)c2ccc(c(c2)N(=O)=O)[OH:16],c1ccc(cc1)c2ccc(c(c2)N(=O)=O)[O-:16],6.73
872,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)/N=N/c2ccccc2O)[OH:15],c1ccc(c(c1)/N=N/c2ccccc2[O-:15])O,7.8
875,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CC(C)(C)c1ccc(cc1)[S@@](=O)CC(=O)[OH:15],CC(C)(C)c1ccc(cc1)[S@@](=O)CC(=O)[O-:15],2.773
876,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1cc(c(c(c1)N(=O)=O)[NH:13]c2ccc(cc2Cl)Cl)N(=O)=O,c1cc(c(c(c1)N(=O)=O)[N-:13]c2ccc(cc2Cl)Cl)N(=O)=O,12.53
877,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)[NH:13]S(=O)(=O)c2cccc(c2)N(=O)=O,c1ccc(cc1)[N-:13]S(=O)(=O)c2cccc(c2)N(=O)=O,7.5
878,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)S(=O)(=O)[NH:13]c2cccc(c2)N(=O)=O,c1ccc(cc1)S(=O)(=O)[N-:13]c2cccc(c2)N(=O)=O,6.94
879,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)S(=O)(=O)[NH:13]c2ccc(cc2)N(=O)=O,c1ccc(cc1)S(=O)(=O)[N-:13]c2ccc(cc2)N(=O)=O,6.2
880,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)[NH:13]S(=O)(=O)c2ccccc2,c1ccc(cc1)[N-:13]S(=O)(=O)c2ccccc2,8.31
881,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,C[N+](C)(C)CCCc1ccccc1[OH:14],C[N+](C)(C)CCCc1ccccc1[O-:14],9.78
882,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,C[N+](C)(C)CCCc1cccc(c1)[OH:14],C[N+](C)(C)CCCc1cccc(c1)[O-:14],9.64
883,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)[NH:13]S(=O)(=O)c2ccc(cc2)Cl,c1ccc(cc1)[N-:13]S(=O)(=O)c2ccc(cc2)Cl,7.98
884,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)S(=O)(=O)[NH:13]c2ccc(cc2)Cl,c1ccc(cc1)S(=O)(=O)[N-:13]c2ccc(cc2)Cl,7.93
885,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,COc1ccc(cc1)c2ccccc2[OH:14],COc1ccc(cc1)c2ccccc2[O-:14],11.38
886,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(c(c1)Cc2ccccc2O)[OH:14],c1ccc(c(c1)Cc2ccccc2[O-:14])O,7.5
888,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCOC(=O)c1cc(cc2c1cccc2)[OH:15],CCOC(=O)c1cc(cc2c1cccc2)[O-:15],8.89
