file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,exp_pKa (pKa)
2126,0.00034,0.012819,-0.45588532,5.85,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3333,0.3333,0,0.25,0.1667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1.02,-15.25,1.25,5.6
2127,0.00905,0.012822,-0.45194554,4.01,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,0.25,0,0,0,0,0,0,0.3333,0,0,0.1667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,-107.41,-2.07,4.69
2128,0.00156,0.014421,-0.47018352,11.59,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.1429,0.25,0,0,0,0,0,0,0,0.3333,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-234.46,4.58,9.69
2129,-0.00795,0.012405,-0.45015448,3.51,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,3,0.25,0,0,0.1,0,0,0,0,0,0,0.1,0,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909,0,0,0,0,0,0.0769,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0.98,132.44,-2.83,4.1
2130,0.0109,0.012329,-0.45185134,4.45,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0.98,12.1,-2.83,3.96
2131,0.01663,0.014543,-0.46546644,9.55,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.1667,0.1429,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.2,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,1.03,7.61,1.2,10.5
2132,0.02597,0.014939,-0.46762148,9.88,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.125,0.3333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,1,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0.2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-107.24,1.2,8.4
2133,-0.00094,0.012533,-0.45205986,4.65,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.125,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0.25,0,0,0,0.98,17.54,-2.83,4.15
2134,0.00234,0.014763,-0.46686515,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.125,0,0,0,0,0,0,0,0.3333,0.25,0,0,0,1.03,4.87,1.2,9.64
2135,-0.00202,0.014485,-0.46538532,9.61,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.2,1,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.37,1.2,8.21
2136,0.0165,0.012562,-0.4683506,12.1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,96.55,1.61,10.7
2137,0.06924,0.009858,-0.4755022,16.48,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,-17.39,38.8,10.69
2138,0.01323,0.012265,-0.43955764,-1.51,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,-4.18,-2.83,1.74
2139,-0.01183,0.012423,-0.44275928,0.07,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,3,0.2,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.98,7.26,-2.83,1.97
2140,0.00555,0.014963,-0.46404645,8.08,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.1429,0.3333,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.03,5.67,1.2,9.1
2141,-0.00292,0.012308,-0.44145554,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,0.25,0,0,0.5,0,0,0,0,0,0,0.125,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0909,0,0,0,0,0.2,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,1.02,90.38,-2.07,2.83
2142,-0.00477,0.012552,-0.45254472,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,0.25,0,0,0.2,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.1667,1,0.3333,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1667,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1429,0,0,0.2,0.1667,0,0,0.5,0,0,0,0,0,1.03,-63.88,-2.07,4.6
2143,0.08223,0.013194,-0.48619843,19.91,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-8.32,-2.83,14.03
2144,0.00191,0.014399,-0.46127924,7.5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.1429,0,0,0,0,0,0,0,0,0,0,0.1667,0.3333,0,0,0,0,0,0.5,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.25,0,0.1111,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.03,-1.19,4.58,8.87
2145,0.00712,0.012657,-0.45127746,3.44,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,3,0.1667,0,0,0,0,0,0,0,0,0,0,0.1429,0.1667,0,0,0,0,0,0.0909,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0.2,0,0.25,0.3333,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0909,0,0,0.98,-7.89,-2.83,5.82
2146,0.00081,0.012442,-0.45439193,5.42,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.125,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.5,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0.98,-120.68,-2.83,4.5
2147,-0.00245,0.012444,-0.4462252,1.6,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.0909,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0.25,0,0,0,0,0,0,0,0.1,0.25,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0.98,55.18,-2.83,2.77
2150,0.02812,0.012722,-0.46921048,12.43,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.3333,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,16.71,-2.83,9.63
2151,0.04806,0.012331,-0.46475026,10.47,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,0.2,0,0,0.3333,0,0,0,0,0.5,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,1.68,-2.83,9.59
2153,0.04047,0.01502,-0.47199836,12.33,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.125,0.25,0,0,0,0,0,0,0,0,0.1111,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.1667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.03,649.59,1.2,8.9
